ID,ENGLISH,POLONAIS,INTERVAL
9064,seeker,osoba ubiegająca się o,54
9402,postal,pocztowy,53
3067,implicitly,niejawnie,89
137,porous,porowaty,100
12534,regarded,traktowany,6
10510,linear,liniowy,44
9271,helmet,kask,47
1237,awfully,strasznie,26
8149,embarked,wyruszył,51
2891,inundated,zalany,80
10290,civic,obywatelski,45
3860,offspring,potomstwo,86
1077,analyzing,analizowanie,44
11318,margaret,małgorzata,38
5013,subscription,subskrypcja,67
6315,diocese,diecezja,72
13021,evil,zło,22
8576,grateful,wdzięczny,53
13531,hill,wzgórze,14
5681,bipolar,dwubiegunowy,76
11901,inch,cal,23
9040,array,szyk,54
12918,target,cel,16
8485,stonewall,kamienna ściana,59
6130,nephew,siostrzeniec,70
10476,switched,przełączony,27
10395,submarine,łódź podwodna,43
651,ephedrine,efedryna,99
12267,hate,nienawidzić,27
11558,shell,muszla,29
6090,footprint,ślad stopy,70
10208,quiet,spokojny,46
6713,unhappy,nieszczęśliwy,68
3005,methicillin,metycylina,90
10220,sin,grzech,40
2154,epinephrine,epinefryna,93
1518,malleus,młoteczek,96
716,inbound,przywilej,87
4122,bootleg,kopia piracka,72
605,rundown,zniszczony,99
1609,disparity,różnica,32
2937,detrimental,szkodliwy,80
7719,underlying,zasadniczy,61
8395,caf,kawiarnia.,60
14242,mac,prochowiec,34
13742,boy,chłopiec,12
1299,annotated,adnotacyjny,85
12818,northeast,północny wschód,24
5764,nixie,rusałka,76
12669,activity,czynność,12
6080,aunt,ciotka,73
7025,depletion,wyczerpanie,54
13597,shot,strzał,14
14450,hit,uderzyć,9
147,impoverished,zubożały,99
2552,invincible,niezwyciężony,89
10188,notification,powiadomienie,46
14392,parts,części,9
5352,urchin,urwis,79
3039,masonry,kamieniarstwo,90
90,emphysema,rozedma,100
2599,bodyguard,ochroniarz,83
7820,reminder,przypomnienie,19
12816,captured,złapany,17
734,unsatisfactory,niedostateczny,99
9524,voodoo,wiara w czary,52
879,beams,belki,58
12757,jerry,nocnik,25
11850,happens,dzieje się,12
9234,wheat,pszenica,54
6258,loyalty,lojalność,71
11787,cleanup,sprzątać,34
14222,near,w pobliżu,12
10255,density,gęstość,46
11252,attributed,przypisany,17
8218,exceptional,wyjątkowy,16
14014,least,najmniej,6
2135,rosary,różaniec,94
8166,cod,dorsz,62
6220,mitt,rękawica,72
7643,oasis,oaza,64
12279,prepared,przygotowany,20
10962,static,statyczny,40
10398,naked,nagi,45
12486,somewhat,nieco,28
1579,enraged,rozwścieczony,90
8348,unsubstantiated,niepodstawiony,60
8944,overwhelming,przytłaczający,40
7953,condom,prezerwatywa,60
2608,exceeds,przekroczy,92
1264,dreamy,marzycielski,97
10452,departure,wyjazd,43
11857,device,urządzenie,28
9832,cab,taksówka,48
7419,accomplishments,osiągnięcia,35
592,solitaire,pasjans,99
8635,toad,ropucha,58
10589,frost,mróz,42
6502,overhead,nad głową,71
1682,interviewees,rozmówcy.,88
1072,treasures,skarby,51
6114,token,znak,68
14274,went,wszedł ,12
10463,reallocated,realokowany,44
14150,able,zdolny,6
12794,ted,przetrząsać,24
11397,inferred,wywnioskować,35
4558,dining,jadalnia,76
9189,fuller,folarz,55
4747,squeeze,ściskać,67
14501,authorities,władze,10
12680,con,kon,21
7263,backstreet,cicha uliczka,67
8957,pollinator,zapylnik,49
85,dreamtime,czas snu,100
14173,increased,zwiększony,15
3008,stylized,stylizowany,89
3566,lecture,wykład,63
4263,hertz,herc,84
10575,swear,przysięgać,42
1361,nee,z domu,97
2661,outreach,sięgać dalej niż ktoś coś,92
13159,crisis,kryzys,20
12686,tidy,uporządkowane,25
14017,operating,operacyjny,7
5666,weirdy,dziwi,77
1022,rescuers,ratownicy.,97
7882,potent,silny,62
3235,meningitis,zapalenie opon mózgowych,88
6471,armament,uzbrojenie,67
1598,thinkers,myśliciele,88
4587,backbone,kręgosłup,81
138,furtive,ukradkowy,97
4121,paved,wybrukowany,64
10761,pet,zwierzak domowy,38
3293,tribesmen,plemienia,88
3598,superscript,napisany u góry,85
7778,muzzle,pysk,63
14479,team,zespół,7
12018,peninsula,półwysep,32
10920,adult,dorosły,37
6417,lien,zastaw,71
3542,footwear,obuwie,88
13401,10th,10.,17
6003,willow,wierzba,71
13853,when,kiedy,6
13342,hesitate,wahać się,18
7836,failures,awarie.,25
11661,forgot,zapomniał,35
1556,frenchmen,francudnich.,96
3475,reacting,reagowanie,49
11433,unbeaten,nie pobity,38
13182,roman,rzymski,19
3587,bilingual,dwujęzyczny,87
1528,bladder,pęcherz,96
982,reestablished,przywrócony,85
12661,bull,byk,20
13801,said,powiedział,10
12481,glass,szkło,26
2780,primer,elementarz,88
1812,cornerstone,kamień węgielny,91
1322,congregation,kongregacja,79
3372,shortcomings,niedociągnięcia,86
10084,hypothesis,hipoteza,48
12684,communist,komunistyczny,24
8839,wont,przyzwyczajenie,57
2218,whereupon,po czym,93
9599,boom,bum,48
13156,presidential,prezydencki,20
6779,texture,tekstura,62
2174,peg,kołek,73
12245,princess,księżniczka,30
5635,braille,brajl,77
1993,inquest,śledztwo,93
7198,recoil,odrzut,66
9945,zoo,ogród zoologiczny,48
6368,pronger,prognoza.,73
11708,medium,średni,35
6396,premise,przesłanka,54
1956,bargain,okazja,62
1339,unheard,nie wysłuchany,97
11628,journal,dziennik,30
7247,roaring,ryk,54
12682,sold,sprzedany,26
3702,dull,nieciekawy,86
8899,taught,nauczony,56
12366,examples,przykłady.,12
7885,curved,zakrzywiony,40
2860,coon,szop,90
8568,fowler,ptasznik,59
8414,incredibly,niewiarygodnie,43
14098,left,lewy,9
2252,invaluable,nieoceniony,93
14131,times,czasy,5
14115,close,zamknąć,12
4926,pang,ostry ból,80
12164,lift,wyciąg,19
13672,whole,cały,14
11271,quarters,mieszkanie,10
14071,right,prawidłowy,9
11822,beback,wrócę,34
8248,markup,narzut,61
4806,stuffed,nadziewany,71
1406,belated,spóźniony,96
5528,beans,fasolki,38
10386,freeman,obywatel,45
13085,controversy,spór,9
13647,live,relacja na żywo,9
10273,successor,następca,44
10615,estate,nieruchomość,39
3093,necessitated,potrzeba,73
4310,handicap,upośledzenie,68
4545,iceberg,góra lodowa,82
3535,dugout,ziemianka,87
4506,await,czekać na,52
10371,sue,pozwać,45
5840,gibberish,szwargot,76
4292,stab,zasztyletować,64
5641,devised,opracowany,68
6888,leukemia,białaczka,69
5586,naive,naiwny,73
14339,considered,uważany za,5
11960,imperial,cesarski,28
14225,main,główny,9
4604,skipper,szyper,79
9371,reich,rzesza,53
2939,crappy,gniazdo,87
14394,question,pytanie,6
8767,everyday,codzienny,57
13335,sixth,szósty,18
19,infernal,piekielny,100
2487,bodily,cieleśnie,92
8697,bullshit,głupie gadanie,58
12284,scientific,naukowy,29
13227,production,produkcja,9
14283,potential,potencjał,13
12041,fresh,świeży,32
11969,excellent,doskonały,28
2306,broom,miotła,91
10792,beloved,ukochany,42
8552,typographical,typograficzny,58
12885,health,zdrowie,24
7436,sheriff,szeryf,64
1921,mucus,śluz,95
13902,officials,urzędnicy,10
5898,marxism,marksizm,75
14294,car,samochód,11
6795,modular,modułowy,67
14220,similar,podobny,12
11030,preliminary,wstępny,40
2806,lackluster,lśniący,90
6118,novice,nowicjusz,72
7310,turf,darń,65
1511,perpendicular,prostopadły,96
5971,farewell,pożegnanie,74
1177,nco,podoficer,97
4750,cambodian,kambodżacz.,79
1242,stain,plama,66
10976,skin,skóra,37
11786,inferior,gorszy,34
7348,grasp,chwyt,61
14490,turned,obrócony,11
4879,mercenary,najemnik,63
4715,hamstring,ścięgno udowe,82
2456,cooked,gotowany,28
9197,bumblebee,trzmiel,55
9705,stalled,utknął,41
2017,doodle,gryzmolić,92
8413,casual,zwykły,56
6648,borderline,linia graniczna,70
12616,currency,waluta,26
3685,captives,jeńcy,57
11759,bishop,biskup,33
12016,stock,zbiory,29
7599,liner,liniowiec,62
11975,gates,bramy,24
1187,refraction,refrakcja,86
1438,pentecost,zielone świątki,70
4160,dietary,dietetyczny,85
13967,power,moc,11
5033,literacy,alfabetyzacja,80
13201,borrowed,pożyczony,19
11867,medicine,medycyna,33
14449,longer,dłużej,12
13522,stub,końcówka,15
13494,queries,zapytania,15
5880,hydrocarbon,węglowodór,71
2009,nicer,ładniejszy,94
216,homemade,domowej roboty,100
448,lifeboat,łódź ratunkowa,97
6485,backward,do tyłu,54
2652,starling,szpak,92
10316,cache,pamięć podręczna,41
14203,processing,przetwarzanie,12
11412,abandoned,opuszczony,33
2754,brewery,browar,85
10399,moose,łoś,45
1827,bulletproof,kuloodporny,95
2624,ensign,chorąży,90
5876,suspicions,podejrzenia,51
1257,thicker,grubszy,97
4168,vinegar,ocet,85
12025,prost,prog,32
3088,blender,mikser,89
10742,abortion,poronienie,38
9114,unused,nie używany,52
10514,purchased,zakupione,29
9652,anticipated,oczekiwany,41
13637,court,sąd,14
9883,fortress,twierdza,47
1731,sine,sinus,90
12555,religious,religijny,27
12865,assert,zapewniać,18
2627,resin,żywica,82
9027,mud,błoto,56
8569,drift,dryf,38
12878,types,typy,8
194,motorists,kierowcy,98
7725,payment,zapłata,54
14214,needs,wymagania,6
11674,afraid,przestraszony,35
13188,children,dzieci,20
11470,italics,kursywa,33
14224,form,formularz,10
4567,cello,wiolonczela,82
14357,easy,łatwy,12
12130,traffic,ruch drogowy,31
2595,enlighten,oświecać,51
7896,shattered,roztrzaskany,57
10233,platoon,pluton żołnierzy,42
7428,baptism,chrzest,64
12852,forest,las,23
13420,marine,morski,13
9618,holly,ostrokrzew,51
7601,void,próżnia,60
12642,entertainment,rozrywka,23
7677,clement,łaskawy,55
6537,coolidge,chilot,71
13872,because,ponieważ,8
12418,classified,sklasyfikowany,26
4457,fingerprint,odcisk palca,66
10987,starters,przystawki,27
14034,costs,koszty,23
13831,they,oni,7
10861,cox,sternik,41
9968,chili,czerwony pieprz,48
10436,substituted,podstawiony,25
7360,flak,artyleria przeciwlotnicza,66
1279,punctured,przebity,69
13406,valley,dolina,17
3640,outage,czop,69
3997,upright,pionowo,78
3087,fiery,ognisty,89
14421,thing,rzecz,9
3161,tourer,autokar,88
3565,puzzled,zdziwiony,47
2766,serfdom,poddaństwo,91
10152,pocket,kieszeń,42
9336,debris,gruzy,54
10980,upgrading,uaktualnienie,25
5516,peanuts,orzeszki ziemne,44
7227,fabian,fabiański,67
8221,havoc,spustoszenie,61
13464,henry,henz,17
357,draughts,warcaby,96
12638,intensity,intensywność,21
669,swell,puchnąć,71
11588,uncited,nieświadomy,36
1599,harden,stwardnieć,76
9728,worker,pracownik,24
4671,uncomfortable,niewygodny,81
12671,fellow,kolega,25
8653,adaptation,dostosowanie,36
13605,water,woda,14
9710,restoration,przywrócenie,10
14273,head,głowa,11
6277,insurrection,insurekcja,72
4589,inverted,odwrotny,71
14187,continue,kontynuować,5
13066,injured,ranny,20
12803,railway,kolej żelazna,22
11647,eve,przeddzień,35
9921,refresh,odświeżać,45
11380,vertical,pionowy,34
11390,swedish,szwedzki,38
11153,recognition,uznanie,39
7892,ally,sprzymierzyć,22
7269,caffeine,kofeina,66
5574,wharf,estakada,76
12230,hip,biodro,29
5201,certainty,pewność,79
11548,ratio,stosunek,35
10346,greenhouse,szklarnia,45
13018,saturday,sobota,22
10799,properties,nieruchomości,22
9923,ruby,rubin,48
14292,cases,sprawy,6
600,nightshirt,nocna koszula,99
10449,georgian,gruziński,43
8742,demolished,zburzony,54
11864,slang,gwara,34
12451,database,baza danych,28
7418,gemini,bliźnięta,65
13301,pressure,ciśnienie,18
10988,fruit,owoc,37
11957,bronze,brązowy,32
8175,herb,ziele,59
11460,forty,czterdzieści,36
12236,halftime,połowa czasu,30
1273,gemstone,kamień szlachetny,90
10487,composition,kompozycja,33
5892,meritorious,zasłużony,75
8994,goose,gęś,56
14272,campaign,kampania,16
3260,affinity,podobieństwo,82
5419,meiosis,mejoza,78
9637,sweeping,zamaszysty,32
4800,exposing,wystawienie,38
6032,signified,oznaczony,48
3908,firepower,siła ognia,86
7551,cruelty,okrucieństwo,65
3207,troublesome,kłopotliwy,89
13793,to,do,5
96,polynesian,polinezyjski,99
13495,rest,odpoczynek,16
7361,chill,chłod,63
8404,dominion,panowanie,58
7554,vegetable,warzywo,53
6979,urgent,pilne,62
12527,credit,kredyt,20
10480,characteristics,charakterystyka,38
88,kiln,suszarnia,90
13229,son,syn,18
2666,bugle,dąbrówka,90
4301,broccoli,brokuły,84
12693,mouse,mysz,26
10423,collision,kolizja,43
9047,glider,szybowiec,50
9988,oval,owalny,48
12532,clarify,wyjaśniać,25
14385,assets,aktywa,42
10725,loud,głośny,42
5262,routinely,rutynowo.,51
10090,desist,odstąpić,47
14018,current,aktualny,8
13309,managed,zarządzany,11
5356,shiva,siedmiodniowa żałoba,79
10215,hale,krzepki,46
13670,terms,warunki,9
11682,fir,jodła,35
9775,certified,atestowany,47
12643,invited,zaproszony,6
13938,shares,akcje,6
6644,unreasonable,nierozsądny,69
14000,user,użytkownik,5
3476,diphosphate,difosforan,88
14088,here,tutaj,5
9232,burst,pękać,50
6164,waterfall,wodospad,71
6929,variously,różnorodnie,69
4007,ravaged,spustoszony,80
12846,equipment,sprzęt,18
4723,spherical,kulisty,81
1160,capuchin,kapucyn,97
10381,cartridge,nabój,40
4156,quay,nadbrzeże,82
13824,more,więcej,5
13303,figure,postać,14
7378,lyases,lyazy.,48
8116,pathetic,żałosne,61
10161,batman,ordynans,47
8122,accessed,uzyskać dostęp,10
9448,amphibious,ziemnowodny,53
597,colonists,koloniści,92
12894,province,województwo,21
9329,dweller,mieszkaniec,52
8365,decay,rozkład,56
10940,crest,herb,38
190,overseeing,nadzorowanie,75
10027,refugee,uchodźca,31
1116,sundial,zegar słoneczny,94
360,regenerative,regeneracyjny,100
10832,overview,przegląd,41
11729,delivered,dostarczony,28
14164,makes,robi,5
4207,compensate,kompensować,46
8960,michelangelo,michał anioł,56
9199,asterisk,gwiazdka,52
5521,guilt,wina,77
7886,exceeded,przekroczony,42
10389,flagstaff,maszt,45
1676,sisterhood,siostrzeństwo,96
7085,bender,giętarka,67
14396,claims,roszczenia,10
8530,titanium,tytan,59
1685,phallus,prącie,96
9600,rant,tyrada,44
11519,flash,lampa błyskowa,34
12659,industry,przemysł,17
6483,insignificant,nieistotny,70
7828,tripod,statyw,62
8923,popcorn,prażona kukurydza,56
9477,clinch,nit,27
2968,agitation,podniecenie,71
13864,over,nad,7
5719,dummy,manekin,74
2027,undermines,podważać,55
8110,crescent,półksiężyc,62
4874,fictitious,fikcyjny,81
4521,peculiar,osobliwy,78
13224,sun,słońce,18
8712,hamster,chomik,58
8770,plug,wtyczka,52
1501,actuary,specjalista od ubezpieczeń,90
9747,quarterbacks,rozgrywający,17
5208,hasty,pochopny,78
5393,neighbor,sąsiad,46
10876,distinct,odrębny,27
3579,culprit,winowajca,75
7404,wrist,nadgarstek,62
14379,side,strona,12
12964,omissions,pominięcia,22
13671,northern,północny,14
7494,lodge,wigwam,56
5065,cad,cham,80
952,squall,szkwał,92
13529,wide,szeroki,14
10771,wet,mokry,41
1662,chivalry,rycerskość,96
14110,came,wszedł,12
13995,large,duży,7
1878,toppled,przewrócony,81
10181,hunger,głód,47
2931,farthest,najdalej,90
6820,semimonthly,pół miesięczna,69
14138,top,szczyt,9
11996,seal,foka,24
8551,plasma,osocze,59
11694,carrier,nośnik,32
14325,communications,komunikacja,9
12361,newly,nowo,29
4089,sticky,lepki,85
14243,done,zrobione,11
2259,fiberglass,włókno szklane,93
3197,healthcare,opieka zdrowotna,89
1340,counterattacks,kontrataki,61
6615,unfounded,bezzasadny,71
1619,attic,strych,95
3834,sentinel,posterunek,84
5110,obstacle,przeszkoda,65
7597,spade,łopata,60
7764,bypass,objazd,55
97,esteemed,cenione,76
11681,township,parafia,35
56,incubus,zmora,100
13029,unique,unikalny,21
13610,word,słowo,10
13232,dodo,dront,19
10776,imagine,wyobrażać sobie,35
6224,cockroach,karaluch,73
3454,viz,mianowicie,88
1798,seduction,uwodzenie,91
1815,biomedical,biomedyczny,95
12368,gain,zdobyć,16
4048,nutshell,łupina od orzecha,85
6647,cognitive,kognitywny,65
13821,this,ten,5
12722,mother,mama,24
13869,such,taki,5
6652,chalk,kreda,68
7270,squares,kwadraty,18
8197,absent,nieobecny,61
6057,crete,kreta,75
14050,states,państwa,7
6617,plaque,plakieta,66
9555,receptor,chwytnik,45
13045,disco,dyskoteka,21
2257,plaid,pled,93
14407,expect,oczekiwać,12
5638,lounge,salonik,74
5949,locust,szarańcza,72
11530,retrieved,odzyskany,32
3871,horribly,potwornie,53
11150,hide,ukryć,30
13834,up,w górę,7
14370,offered,oferowany,17
11931,ages,wieczność,15
14144,markets,rynki,15
10640,preseason,bestezon,43
2871,renal,nerkowy,90
10539,doctrine,doktryna,42
7538,whisp,szeptem.,65
11373,holocaust,całopalenie,38
6493,belly,brzuszek,53
6151,protective,ochronny,12
7218,fist,pięść,58
6571,messiah,mesjasz,71
8713,taiwanese,tajwańczyk,58
1209,darkest,najciemniejszy,97
11905,jupiter,jowisz,33
5541,slate,łupek,59
14503,distribution,dystrybucja,23
11521,fortyfive,czterdzieści pięć,37
2067,cay,rafa koralowa,93
12728,carter,furman,25
4294,scissors,nożyce,73
11164,genocide,ludobójstwo,38
1590,condense,skraplać,55
9386,bulgarian,bułgarski,50
8501,calculus,rachunek różniczkowy,59
358,infuriated,rozwścieczony.,93
2783,roadster,terenówka,87
11511,cream,krem,37
4829,envoy,wysłannik,78
12883,hundred,sto,18
8050,jelly,galaretka,62
10503,radiation,promieniowanie,41
3017,cavity,wgłębienie,89
10961,dragons,smoki,20
5901,unintentional,nieumyślny,67
6488,warped,wichrowaty,62
318,nuanced,nuaminowany,88
11010,aerial,antenowy,40
4552,ascension,wniebowstąpienie,83
6156,sympathetic,współczujący,73
12857,definition,definicja,17
9164,heels,obcasy,48
3228,negligence,zaniedbanie,70
11411,slower,wolniej,38
4693,cartoonist,rysownik,71
10082,dolphin,delfin,29
2206,intricate,zawiły,89
12972,enemy,wróg,21
7618,stifle,zdusić,58
3729,indium,ind,87
1907,communique,komunikat,94
547,heresy,herezja,98
6564,dense,gęsty,63
3386,disbelief,niedowierzanie,88
9224,fullback,stoper,48
11606,oxygen,tlen,35
6037,concourse,zbiegowisko,74
5665,mum,milczący,45
4469,jewelry,biżuteria,83
11557,shakespeare,szekspir.,36
8384,landmark,element krajobrazu,51
12054,puppets,kukiełki,27
9488,jungle,dżungla,51
6920,grange,folwark,68
10538,twilight,zmierzch,44
3484,icy,lodowaty,88
5232,spontaneous,spontaniczny,72
10955,deactivated,dezaktywowany,38
12151,domestic,domowy,30
5214,ample,obszerny,79
12689,expansion,ekspansja,25
11911,cloud,chmura,30
13660,aircraft,samolot,14
4332,veterinarian,lekarz weterynarii,79
1478,saltwater,słona woda,96
2542,waller,murarz dołowy,92
2071,melanoma,czerniak,94
710,horseback,grzbiet koński,99
2952,imprint,odcisk,71
6065,outrage,skandal,56
3602,buildup,nagromadzenie,87
3641,notebook,zeszyt,83
7389,afford,pozwolić sobie,56
10315,sand,piasek,38
3884,fowl,ptactwo,86
10902,boycott,bojkot,39
1092,quill,lotka,96
3135,surgical,chirurgiczny,88
1881,apocalyptic,apokaliptyczny,84
9703,scream,krzyk,41
8891,speller,podręcznik do ortografii,57
12933,haven,przystań,23
9508,rage,wściekłość,44
3456,attrition,ścieranie,87
9176,unprecedented,bez precedensu,55
544,dioxin,dioksyn,99
6709,midfield,pomocnik,57
409,snare,sidła,85
6650,usable,nadający się do użytku,67
6269,carbohydrate,węglowodan,72
7154,imminent,nadciągający,66
14312,position,pozycja,6
10121,roller,wałek,46
10584,eu,ue.,44
7437,slovak,słowacki,63
4930,goggles,okulary ochronne,78
2508,fortnight,dwa tygodnie,90
451,crozier,pastorał,100
13690,money,pieniądze,14
8939,davenport,sekretarzyk,56
9286,interactive,interaktywny,32
12948,junk,graty,23
6967,terrestrial,ziemski,67
8734,transferring,przeniesienie,14
2598,masterpiece,arcydzieło,85
993,eclectic,eklektyczny,98
10031,incorrectly,nieprawidłowo,48
11266,intervention,interwencja,38
9247,jenny,przędzarka,52
5366,outgoing,towarzyski,79
3959,chestnut,kasztan,84
12665,drawn,pociągnięty,26
1992,gusty,porywisty,94
6192,erasing,kasowanie,34
11599,peer,rówieśnik,33
3981,feast,święto,84
13319,typhoon,tajfun,18
12077,thirty,trzydzieści,31
932,satchel,tornister,98
11255,chemistry,chemia,38
13665,lap,okrążenie,12
11930,dale,dołek,33
2008,adverb,przysłówek,92
10241,barber,fryzjer,46
12290,unlike,w odróżnieniu,22
9338,chef,szef kuchni,52
11767,harm,szkoda,14
11671,evaluation,ocena,31
9375,octopus,ośmiornica,53
14175,keep,trzymać,10
13920,where,gdzie,8
5583,reworded,przeredagowany,56
13603,japanese,język japoński,15
8904,elizabethan,elżbietański,56
9849,spice,przyprawa,48
3107,quartz,kwarc,89
7122,sirloin,polędwica,67
13783,confusion,dezorientacja,11
11056,tea,herbata,40
14072,order,zamówienie,10
3674,glitch,usterka,80
2594,pursuant,na mocy,92
11270,progressive,progresywny,20
4705,spearheaded,bzdura,64
7516,baroque,barokowy,65
463,falsehoods,fałsz,85
13141,break,zepsuć,16
11382,rid,elimonować,38
7900,elbow,łokieć,61
5368,caucasian,kaukaski,78
7831,platypus,dziobak,63
7007,stingray,płaszczka,65
4548,tangled,splątany,75
3926,quarantine,kwarantanna,80
8105,conscious,przytomny,62
11946,expressed,wyrażone,18
8888,diabetes,cukrzyca,54
8721,spiritual,duchowy,51
14118,given,dany,12
9857,highland,średniogórze,36
11040,welsh,walijski,40
9393,infamous,niesławny,52
494,nighttime,nocna pora,99
13574,olympic,olimpijski,12
1110,regrouped,przegrupowany,82
9570,farmers,rolnicy.,43
10906,midway,w połowie drogi,41
1136,centipede,skolopendra,97
5029,spur,ostroga,38
14036,home,dom,9
6138,postage,opłata pocztowa,74
4226,hog,wieprz,65
7992,consumption,konsumpcja,62
1723,commend,pochwalić,59
13964,four,cztery,7
10070,tired,zmęczony,29
9628,noteworthy,godny uwagi,51
3910,roadside,boczna droga,86
12051,floor,piętro,28
2133,geisha,gejsza,93
3728,furnish,umeblować,64
1570,transient,przejściowy,94
4915,postwar,powojenny,81
4244,workplace,miejsce pracy,84
2189,tighter,mocniej,93
3654,rucker,rurnik.,88
10388,interstate,międzystanowy,45
13353,contrib,wkładki,18
5101,polynomial,wielomian,74
4706,unarmed,bezbronny,82
11319,alice,alicja.,38
9127,tomato,pomidor,51
13263,none,żaden,19
12987,jean,drelich,22
4734,subsets,podzbiorów,62
3496,retroactively,z mocą wsteczną,79
11792,worn,noszony,34
12843,pan,patelnia,24
6116,slap,policzkować,58
11117,bureau,biuro,39
8277,dental,dentystyczny,61
10954,outlined,nakreślony,34
9230,brick,cegła,50
9169,bitter,gorzki,53
10815,partial,częściowy,33
7549,midsummer,połowa lata,65
11452,plain,równina,30
10300,fed,karmiony,45
10967,math,matematyka,39
2805,tougher,twardszy,91
2420,planners,planiści,84
13818,not,nie,5
7693,pond,staw,62
13043,earned,zarobiony,17
2364,quadruple,poczwórny,88
10964,spend,wydać,31
47,spitz,szpic,100
6018,incarnation,wcielenie,53
1531,bourgeoisie,burżuazja,96
11389,login,zaloguj sie,38
8743,tender,miękki,52
6036,jewel,klejnot,62
10336,smallest,najmniejszy,46
3966,pumpkins,dynie,61
13884,three,trzy,8
10044,rouge,róż,43
9493,molecule,cząsteczka,48
12165,madrid,madryt,31
14437,separate,oddzielny,16
7630,extraterrestrial,pozaziemski,63
9626,prostitution,prostytucja,47
14422,capabilities,możliwości,27
8845,painter,malarz,55
11951,census,spis ludności,33
6632,marseille,marsylia.,63
11922,pieces,sztuki,20
1403,manipulations,manipulacje,43
8177,household,gospodarstwo domowe,54
5698,miscellany,zbieranina,76
3958,subliminal,podświadomy,85
2615,caricature,karykatura,85
9357,clarification,wyjaśnienie,51
10661,oldest,najstarszy,43
12579,fiction,fikcja,21
1103,sortie,wypad wojsk oblężonych,59
62,digger,koparka,91
14202,war,wojna,8
12084,composed,opanowany,25
10587,bother,niepokoić,36
6940,fax,faks,67
12394,whereas,mając na uwadze  że,29
2098,blackwater,czarna woda,94
11229,dam,zapora,37
7060,pipeline,rurociąg,65
2770,subsidy,subsydium,79
1434,awake,obudzony,94
10534,incoherent,niespójny,44
13988,interest,odsetki,9
7489,emphasized,podkreślony,50
8822,trilogy,trylogia,57
12180,massive,masywny,29
7711,soothing,kojący,63
9381,comedian,komik,50
11391,indoor,wnętrz,36
1083,reins,lejce,76
13710,therefore,w związku z tym,14
9597,steals,kradnie,35
10945,ape,małpa,39
13020,agreement,porozumienie,21
2826,thrice,trzykrotnie,90
6828,dancers,tancerze,58
5559,existentialism,egzystencjalizm,73
13176,mid,środek,20
10812,reef,rafa,41
13924,against,przeciwko,9
14458,thought,myśl,13
3623,bure,buknąć,88
3932,pronounce,wymawiać,43
12487,justice,sprawiedliwość,27
9010,restart,ponowne uruchomienie,46
13071,pick,wybierać,15
12840,auburn,kasztanowy,24
10836,afghan,afgański,40
4885,distillation,destylacja,71
6180,vacancies,wakaty,67
14108,investment,inwestycja,32
6140,clearance,luz,73
2880,encamped,obozowany,77
5962,reinstate,przywracać na stanowisko,46
12045,locomotive,lokomotywa,22
7386,acetate,octan,58
4096,anemia,niedokrwistość,85
12673,conspiracy,spisek,26
13584,size,rozmiar,14
7862,dislike,nie lubić,56
9858,sandwich,kanapka,47
8966,devoted,oddany,46
6790,peas,groszek,49
13607,browser,przeglądarka,15
8547,furious,wściekły,59
760,panoptical,panoptyczny,99
2736,quack,kwak,90
11977,incomplete,niekompletny,32
7894,friction,tarcie,62
13638,specifies,określa,8
10489,roof,dach,41
10077,explicit,wyraźny,47
4748,gorgeous,przepiękny,82
12994,magnitude,ogrom,22
13587,martin,jaskółka oknówka,15
6150,sled,sanki,72
4161,myall,moje wszystkie,85
5812,levee,grobla,66
2497,prick,ukłucie,88
9146,deadline,termin ostateczny,54
787,falsification,fałszowanie,97
2704,alerting,alarmowanie,31
11556,salt,sól,35
12839,spring,wiosna,21
13846,but,ale,6
9740,pour,wlać,43
8518,socks,skarpety,26
13815,or,lub,5
13152,chance,szansa,18
1970,hardcover,twarda okładka,95
5205,medley,składanka,76
12978,gone,stracony,22
12664,beyond,poza,26
9722,surveillance,nadzór,50
8787,uncivil,nieuprzejmy,57
6534,couch,kanapa,68
12635,woman,kobieta,26
3445,benchmark,reper,82
11140,load,załaduj,26
244,edible,jadalny,98
6732,colon,okrężnica,46
6896,admittedly,wprawdzie,69
1295,salinity,zasolenie,84
12060,comic,komiczny,18
13827,would,zrobiłbym,5
13287,empire,imperium,18
844,snatch,urywek,76
1031,froth,spienić,95
2911,inductees,indukcyjne,87
8371,thatcher,strzecharz,60
