ID,CHINESE,TURC,INTERVAL
8130,朱迪,judy,59
6365,my,mersin,70
5789,朱迪思,judith,74
11168,借口,bahane,34
10650,星空,asteryon,40
989,骆驼照片,camelot,97
8731,菲利斯,felis,54
2285,运动鞋,spor ayakkabı,89
4673,无害,zararsız,80
7740,空手道,karate,59
3008,程式化,stilize,88
9715,亚历克,alec,47
891,沉积,yatırıldı,55
6575,涛,tao,64
11692,地震,depremler,12
5884,楔,kama,69
6562,环礁,atold,68
7337,奢华,lüks,46
12504,光盘,cd,24
10513,谣言,söylentiler,36
7639,抵押品,teminat,61
6478,..,pir,69
4217,极权主义,totaliter,68
13079,树,ağaç,16
4273,比基尼,bikini,81
1569,瓦鲁纳,varuna,95
13449,严重地,ciddi anlamda,14
7161,鲁德,kızılkanat,65
8286,闭锁,kilitleme,58
12112,科威特,kuveyt,28
12748,斯里,sri,22
2617,成功,başarılı olmak,90
2463,抨击,dayak,52
3531,湿地,sulak alan,81
9068,手球,hentbol,50
14010,去,gitmek,7
3463,ovation.,yumurtlama,84
10870,孟加拉,bengal,26
10453,扎克,zack,41
10090,des,vazgeçmek,44
3341,丁二烯,butadiene,88
6979,紧急,acil,59
8691,白天,gündüz,54
11066,随机,rastgele,38
10733,邻里,komşu,33
3092,阀门,vanalar,47
7998,屠,butch,60
2082,凯瑟,kath,93
2987,令人信服地,inandırıcı bir şekilde,88
14397,火,ateş,10
6586,人手,insan gücü,69
9294,监测,izleme,16
5696,地貌,ekşi,74
11775,更差,daha da kötüsü,31
11211,佛蒙特,vermont,36
20,板条,döşeme,88
14155,英国人,ingiliz,9
2642,顺势疗法,homeopati,90
4799,二次,ikinci derecede,79
12005,奇怪的,garip,25
5771,珠子,boncuklar,64
2757,熏鲑鱼,füme balık,89
11069,生的,çiğ,37
8970,护航,convoy,47
10951,膝盖,diz,36
5668,杜马斯,dumas,67
13532,之前,önceden,13
12253,诺亚,noah,27
7552,膜,zar,62
2232,收紧,sıkılmış,76
13028,电路,devre,18
12780,古巴,küba,21
12928,血,kan,19
13812,一个,bi̇r,5
5423,商品,emtia,62
10456,草,çimen,41
10445,脖子,boyun,38
8379,钟声,diamondbacks,55
12178,布雷特,brett,27
5865,联络,ünite,61
6828,舞者,dansçılar,54
3443,幻想曲,fantasia,86
12995,大街,bulvar,19
11540,促进,gayretlendirmek,32
8934,兰德尔,randall,53
10061,印度教,hinduizm,44
10667,向量,vektör,38
11658,余,kalan,32
11461,跨度,yayılma,29
11239,散文,nesir,36
5528,豆子,fasulyeler,35
7706,阿尔卑斯山,alpler,57
1540,水产养殖,su kültürü,95
