ID,DANOIS,TURC,INTERVAL
11407,slået,dövmek,38
5346,chrom.,krom,80
9442,bredde.,çekişmeli,54
7309,drik,içecek,64
465,detractors.,detraktörler,98
8810,pol.,bağ,59
7403,violet.,menekşe,65
10148,chimpanse,şempanze,48
13792,af,ile ilgili,5
8475,transformeret,dönüştürülmüş,32
2559,hydrochloric.,hidroklorik,93
9283,overvinde,aşmak,51
7067,uregelmæssig,düzensiz,50
6125,tankeløs,akılsız,75
3975,teknikere.,teknisyenler,62
4677,canuck.,caduch,83
10741,indsamlet,toplanmış,30
5008,elendighed,sefalet,81
5840,sludder,gibberish,77
1729,sociologisk.,sosyolojik,48
5560,offside.,ofsaytta,79
9908,skyttegrav,siper,45
7959,et stykke,bir parça,64
11480,hoveder.,kafalar,11
5657,tilfredsstillende,tatmin edici,78
3001,unødvendigt,gereksizce,90
5211,varer,eşya,73
12502,urban.,kentsel,28
5647,vile.,aşağılık,78
12805,flyve,uçmak,16
11429,indaugural.,açılış,36
5998,jævnt,eşit olarak,76
10595,pil.,pırıltı,45
12176,fremragende,muhteşem,32
7619,magisk.,büyülü,27
10963,frimærke,damga,36
12783,studio,stüdyo,22
13935,nummer,sayı,8
5976,kedsomhed,can sıkıntısı,76
7094,loppe,pire,68
5522,baseløs,temelsiz,79
1147,dø hårdt,zor ölüm,98
7348,forståelse,sıkı sıkı tutmak,62
2027,underminerer,baltalar,57
6804,laurbær,defne,70
8433,unranked.,rütbesiz,61
11338,drevet,sürmüş,39
8069,frugthave,meyve bahçesi,62
9224,fuldback.,tam geri,50
8385,gunpowder.,barut,62
7718,modsigelse,çelişki,38
12530,hemmelighed,gizli,27
2274,uerfarende,deneyimsizlik,94
3830,needham.,iğneleme,88
14367,billede,imaj,6
9226,følelsesmæssig,duygusal,36
2852,tarm,bağırsak,67
11593,kristendom,hristiyanlık,16
4274,oxidase.,oksidaz,85
7349,tildeling,paylaştırma,32
8696,sladre,dedikodu,59
7459,ahoy.,ahmak,67
3115,aegean.,ege,90
6587,lige så stille,sessizce,73
12656,ungarn.,macaristan,27
7517,centre.,merkezler,20
3713,sturt.,stat,88
2931,længst,en uzak,90
13668,indtastet,girdi,12
1739,starlight.,star ışığı,94
6167,brig.,brik,75
5843,emery.,zımpara,77
11715,passage,geçit,34
8169,etikette,görgü kuralları,62
13955,høj,yüksek,8
13337,gud,tanrı,18
214,yikes.,yiki,100
9272,albion.,albiya,55
2611,cipher.,şifrelemek,90
13259,indeks,dizin,20
2033,vant,alışkın,93
7750,slæbe,çekmek,50
1525,lube.,yağı,97
6583,båndbredde,bant genişliği,71
2135,rosary.,tespih,94
10879,genopretning,iyileşmek,42
13951,skal,mutlak,9
12718,gov.,gang,27
4663,ufærdige,bitmemiş,83
11309,pingvin,penguen,29
7326,nulstil,sıfırla,64
11460,fyrre,kırk,37
3526,skumfidus,hatmi,88
25,myrer.,karıncalar,43
5423,handelsvare,emtia,66
4005,goodwill.,iyi niyet,87
5214,rigelig,bol miktarda,80
11066,tilfældigt.,rastgele,41
9618,holly.,çobanpüskülü,52
11505,ansøgning,başvuru,25
13777,spanien.,ispanya,13
8586,revet i stykker,yırtık,60
11266,intervention,araya girmek,38
1015,andan.,and,98
13874,der,orası,6
6555,hjernerystelse,sarsıntı,70
4252,igle,sülük,85
10199,talte,konuşur,47
11904,tolvth.,onikinci,35
5885,suspendere,askıya almak,27
2753,orc.,ork,84
13634,uregistreret,kayıtsız,15
5889,præster.,rahipler,48
10001,abstrakt,öz,47
11344,ass.,eşek,38
6904,leary.,tanrısal,70
7489,understregede,vurgulayan,51
13856,kun,sadece,7
13044,betydning,önem,12
12138,kristus,mesih,33
6934,baku.,bakü,70
6182,spinat,ıspanak,75
5719,dummy.,kukla,75
13271,relay.,röle,19
12952,øjeblik,an,21
13406,dal,vadi,18
13248,pro,profesyonel,18
11413,rolling.,yuvarlanma,22
203,fodarbejde,ayak işi,100
7628,hawthorn.,alıç,48
8127,sanger.,şarkıcılar,24
2306,broom.,süpürge,91
6534,sofa,kanepe,70
8800,broadcaster.,avcı,16
8999,kran,vinç,56
7503,lily.,zambak,65
7777,azorerne.,azorlar,65
13250,tiddly.,düzenli olarak,20
9581,evade.,kaçamak,46
138,furtive.,zarı,98
2227,parser.,ayrıştırıcı,92
5009,tong.,maşa,80
9475,nedgraderet,bozulmuş,52
4902,kofanger,tampon,79
13093,argentina.,arjantin,22
3384,uforenelig,uyumsuz,84
14150,i stand,hünerli,6
2587,insights.,içgörü,52
10019,cabot.,kabin,49
9378,purgatory.,artan,55
14087,total,toplam,8
13782,japan.,japonya,13
8718,hatte.,şapka,32
13421,med vilje,kasten,9
3034,citable.,kibar,90
11233,duel.,düello,38
7090,vaccine,aşı,59
8438,exposition,ortaya çıkma,60
9827,tilslutninger.,bağlantılar,13
13452,troede,inanmak,5
12192,scribe.,yazma,32
4126,opskrift,tarif,76
