ID,RUSSIAN,HINDI,INTERVAL
6108,капля,बज़ाज़,70
10077,явный,मुखर,43
8995,сага,कथा,51
8012,автор песен,गीतकार,48
275,иберий,औबेरियन,99
1982,джекпот,जैकपोट,92
74,затмение,ग्रहण लगा,38
11262,xi.,ग्यारहवीं,34
1596,выпекать,सेंकना,61
3278,куань,कुआन,87
1277,польская,polska,95
13196,клевев,क्लीवलैंड,16
3587,двуязычный,द्विभाषिक,84
4968,соловей,बुलबुल,77
8934,randall.,रान्डेल,51
12025,проста,प्रोस्ट,27
14399,белый,सफ़ेद,10
5472,пояснение,व्याख्यात्मक,74
12830,рулевое колесо,पहिया,16
7149,миссионер,मिशनरी,55
10980,модернизация,उन्नयन,21
11581,руозвельт,रूजवेल्ट,31
11402,оздоровительно,खाता खोले बिना पवेलियन,33
7289,kemp.,केम्प,61
13058,поставляется,आता हे,7
10731,печальный,दुखी,29
10186,сибирская язва,बिसहरिया,42
10380,хилари,हिलेरी,36
12273,вторник,मंगलवार,25
12656,венгрия,हंगरी,22
4927,миллибары,मिलीबार,73
13809,от,से,5
9385,кукуруза,मक्का,45
1373,петидин,pethidine,95
5854,icarus.,इकरस,72
11098,энзимология,एंजाइमिकी,36
5653,гиббонс,गिब्बन,62
6116,шлепок,थप्पड़,53
13597,выстрелил,शॉट,12
137,пористый,झरझरा,100
11591,ветераны,दिग्गजों,23
11934,ямайка,जमैका,28
1683,преподаваться,दिखावा,76
8349,лэнгли.,लैंग्ले,56
12373,обновить,अपडेट करें,7
2915,pci.,पीसीआई,88
2104,симфонический,सिंफ़नी,92
11033,гарнизон,गढ़ में सेना,33
6990,минометры,मोर्टारों,38
4304,луг,घास का मैदान,56
7730,перехватчик,इंटरसेप्टर,54
1883,аланин,एलानिन,93
6369,суда,अदालत,68
12950,пятница,शुक्रवार,19
14438,начал,शुरू कर दिया,7
8971,одиночество,अकेलापन,51
12507,brunswick.,ब्रंसविक,23
2275,аквила,अक्विला,91
4669,heller,हेल्लर,79
7387,бразил,ब्राज़ील,62
10803,вкус,स्वाद,35
5265,шер,चर,75
13376,майами,मियामी,15
10100,оральный,मौखिक,39
13975,второй,दूसरा,7
4827,листерес,भरती करनेवाला,77
9104,взрывы,विस्फोटों,26
4924,натал,जन्म का,77
4836,микропенис,लघुशिश्नता,78
10621,искал,मांगा,38
1443,застенчивый,सेस्ट,95
6800,мэй,मॅई,65
14181,третий,तीसरा,8
820,канцероген,कासीनजन,87
11335,учтивость,सौजन्य,34
7727,неаполь,नेपल्स,60
11230,бюджет,बजट,33
5959,гламур,ग्लैमर,71
7840,монооксид,मोनोआक्साइड,59
14402,требовать,ज़रूरत होना,6
7540,серб,सर्ब,61
11572,ландшафт,बरछा,31
4632,блин,पैनकेक,73
6271,уязвимый,चपेट में,62
1835,топография,तलरूप,93
365,макака,अफ्रीका का लंगूर,99
13433,матовый,मैट,14
3606,клима,भूखों मरना,85
4598,заменил,अधिक्रमण,71
9984,переизбрание,फिर से चुनाव,41
3642,bandicoot.,एक प्रकार का चूहा,85
9705,заглохл,ठप,37
5748,кубизм,क्यूबिज्म,72
12368,усиление,बढ़त,13
6552,чихуахуа,चिहुआहुआ,67
5174,вагинал,योनि,73
9485,детский,बचपन,47
3220,волнистый,लहरदार,86
10460,романтика,रोमांस,39
2459,сигареты,सिगरेट,49
3551,topeka.,टपीका,86
13867,если,अगर,5
13920,где,कहाँ,7
13235,применение,प्रयोग,16
9345,домашнее задание,घर का पाठ,48
13326,hr.,मानव संसाधन,13
4479,спортивное мастерство,खेल भावना,80
219,бузер,शराबी,100
6733,ascii,आस्की,66
