ID,RUSSIAN,FRENCH,INTERVAL
4517,нитро,nitro,80
6883,одиссей,odysseus,65
14180,июль,juillet,6
44,воспоминания,flashbacks,83
8258,тай,tai,57
2953,нарезанный,tranché,55
8905,эмми,emmée,52
10448,хельсинки,helsinki,41
8901,зуб,dent,50
10818,мета,méta,38
10730,гуам,guam,38
9019,дженна,jenna,52
1259,сборка,assemblage,19
12502,городской,urbain,23
5890,гикори,hickory,72
10049,феномен,phénomène,43
12495,корабль,bateau,17
3408,тигрис,tigre,87
2973,золотой глаз,oeil doré,88
9680,каминда,quiddity,47
7696,траур,deuil,55
6371,комендантский час,couvre-feu,65
8694,флетчер,fléchère,54
390,позвоночный,vertébré,91
14031,рано,tôt,10
8611,дрель,percer,41
4822,олдерман,échevin,78
6069,просьба,plaidoyer,57
6583,пропускная способность,bande passante,66
10586,в любое время,n importe quand,39
13420,морской,marin,12
8155,сварка,soudage,53
13429,9,neuf,14
4360,присматривающий,claquement,34
1128,тана,tana,96
13711,острова,îles,9
9518,чарльстон,charleston,48
8278,мара,mara,56
11471,продавать,vendre,21
1434,бодрствующий,éveillé,92
3607,бюстгальтер,soutien-gorge,78
4471,ола,ola,81
8476,кузница,la forge,45
13724,томас,thomas,12
10130,умный,intelligent,18
12099,граф,comte,27
12132,край,bord,22
11797,под землей,sous la terre,30
12121,загадка,énigme,27
7479,плод,fœtus,62
14025,мой,mon,5
6977,выпустить,sauté,19
9381,комик,comédien,46
14189,ключ,clé,11
958,целиак,coeliaque,97
10166,спонсируется,sponsorisé,30
10793,подготовительный,préparatoire,38
12321,югославия,yougoslavie,26
5789,джудит,judith,72
8349,лэнгли.,langley,56
8173,скромный,modeste,57
12493,запланировано,prévu,11
11889,венесуэла,venezuela,29
7003,гигабит,gigabit,65
13917,президент,président,10
4936,переира,pereira,78
10673,скобка,support,25
3768,экзотика,exotique,81
8989,яснее,plus clair,52
14440,книга,livre,10
8532,рубенс,rubens,55
10708,скипетр,sceptre,39
13039,примерно,approximativement,17
13433,матовый,mat,14
5647,вил,vil,73
1414,обслуживать,citer,69
3283,пункты,clauses,44
6713,несчастный,malheureux,64
13235,применение,usage,16
5872,хаотичный,chaotique,71
13601,подразделение,divisions,7
14362,видео,vidéo,10
4881,ночной клуб,boîte de nuit,71
4735,тряпка,chiffon,65
6773,хроматография,chromatographie,66
11027,членство,adhésion,36
1072,сокровища,trésors,47
2226,осевой,axial,91
13018,суббота,samedi,18
185,лилиум,liliaire,100
9362,кладбище,cimetière,49
4227,раскладушки,clamshells,81
11752,бристоль,bristol,30
12366,примеры,exemples,10
746,маоист,maoïste,93
6880,возвращение на родину,retour à la maison,65
8149,приступил к,embarqué,47
3434,сенсорный,sensoriel,86
1941,шекспировский,shakespearien,93
13548,пенсильвания,pennsylvanie,13
11987,шоссе,autoroute,24
7671,экология,écologie,51
362,дискриминатор,discriminatoire,100
10888,пика,pointu,15
13421,умышленно,délibérément,7
2649,бургундия,bourgogne,90
12087,очевидный,apparent,16
2225,брахмин,brahmane,78
2475,решетка,treillis,87
1333,больше нет,plus jamais,96
4083,снегоход,motoneige,80
6478,пир,pyr,68
10044,румяна,rouge,38
10036,бесполезно,non étiqueté,44
8370,сотовая связь,cellulaire,56
3215,аллергия,allergie,87
1972,неудовлетворенность,insatisfaction,92
13443,приятно,agréable,14
13717,конгресс,congrès,12
9524,вуду,vaudou,48
14485,добрый,gentil,13
9111,полезность,utilitaire,31
6840,тяжелый вес,poids lourd,64
4636,кряква,colvert,78
1783,вошь,pou,94
13968,управление,gestion,9
8538,двоюродная сестра,cousine,45
13565,наполнять,remplir,12
12890,этикетка,étiqueter,14
9984,переизбрание,réélection,42
13773,домен,domaine,11
14055,приходить,viens,7
7106,подкова,fer à cheval,62
7031,лир,lir,64
4709,гомеостаз,homéostasie,79
7306,суперизм,souteneur,62
14026,согласно,selon,9
13079,дерево,arbre,16
5313,трансвааль,transvaal,75
2730,шлифование,affûtage,66
6398,чаттануга,chattanooga,69
8739,психологический,psychologique,33
3778,электромагнетизм,électromagnétisme,46
13272,доктор,dr,16
9861,хомус,humus,45
4276,подземный мир,monde souterrain,81
11602,словарь,dictionnaire,31
2342,лапша,nouilles,64
9341,анастрофа,anastrophe,49
11422,шахматы,échecs,34
7409,богемный,bohémien,59
1981,гербицид,herbicide,90
2841,кокерс,cocker,88
8015,раввин,rabbin,57
13537,иллинойс,illinois,13
5938,вероника,veronique,58
6674,родман,rodom,67
2175,неопределенный,indéfini,91
10866,отклонить,déclin,14
8299,павильон,pavillon,54
6989,позвоночник,spinal,64
7728,промывка,flushing,51
11964,каннабис,cannabis,29
3972,ежеквартальный,trimestriel,83
6531,молиться,prier,55
4918,домини,domini,77
9329,житель,habitant,48
