ID,DEUTSCH,PORTUGAIS,INTERVAL
3980,angrenzend.,adjacente,84
4569,inmitten,em meio a,83
6151,schützend,protetor,12
14118,gegeben,dado,12
7239,konfuzianismus,confucionismo,66
3140,keramisch,cerâmica.,82
763,zucchini,abobrinha,99
6150,schlitten,trenó,73
9036,schlagmann,batedor,56
5680,im kopf,capita,77
10774,verlängerung,extensão,25
12736,drücken,pressionando,14
3858,verrotten,podridão,80
7229,kinetisch,cinético,62
1546,pater,padre.,47
9153,verweigerung,negação,54
6516,wasserkraft,hidrelétrico,72
6020,quiz,questionário,75
10406,topf,panela,43
374,wütet,wray.,100
10452,abfahrt,partida,43
555,freier halt,freehold,99
12804,auge,olho,19
5950,donau,danúbio,75
14398,datum,data,7
4362,beichten,confessar,47
8719,klage,processo judicial,52
9189,voller,fuller.,55
10742,abtreibung,aborto,38
11024,küsten,costeiro,40
10050,herbst,outono,48
230,untergruppe,subgrupo,93
12488,nicht verwandt,não relacionado,28
4757,immunität,imunidade,52
13034,niederlande,holanda,22
14478,analytiker,analista,50
8863,holzig,woody,56
7470,entsorgung,disposição,50
11368,staus.,estojo,38
10227,hase,coelho,46
7760,ziegelei,brickyard.,64
8811,leber,fígado,57
13840,ich,eu,5
13973,angerufen,chamado,9
13728,zitat,citação,12
12233,nachmittag,tarde,30
891,hinterlegt,depositado,59
7147,eskimo,esquimó,48
13983,helfen,ajuda,7
2506,cherub,querubim,91
11317,geklopft,batido,27
8099,whiskey,uísque,62
10798,bowler,jogador,33
7671,ökologie,ecologia,55
10913,frosch,rã,37
11465,darstellung,representação,34
8184,koto.,kero.,62
11382,loswerden,livrar,38
2223,rachsüchtig,vingativo,92
8149,eingebunden,embarcado,51
6902,absturz,crashing.,20
12507,braunschweig,brunswick.,28
8645,schutz,abrigo,48
8380,verkündet,proclamado,50
5074,anbieter,fornecedor,65
7634,posaune,trombone,63
14177,entworfen,projetado,12
8463,opium,ópio,60
2350,bürsten,escovando,51
2056,aufsichtsrechtlich,prudencial,94
11097,felsig,rochoso,33
2846,doof,pateta,90
1767,pensionen,pensões,65
11683,bevorzugen,preferir,11
6721,inhärent,inerentemente,58
12663,töpfer,oleiro,26
4566,schreiten,passo,77
8554,watergate,aguardente,59
11222,österreichisch,austríaco,38
14094,am besten,melhor,9
13785,seeland,zelândia,13
8742,zerstört,demolido,54
5128,herzogtum,ducado,77
10961,drachen,dragões.,20
6437,handwerker,artesão,72
11729,geliefert,entregue,28
8368,hallows,realização.,59
13628,pole,pólo,15
3684,mäster,med.,87
