ID,DEUTSCH,KOREAN,INTERVAL
192,ako.,아코,100
14058,wissen,알다 ,7
4328,sündenbock,팻시,80
7833,mis,오해하다,23
8596,tribun,호민관,43
12045,lokomotive,기관차,19
10686,lotus,로터스,38
6908,majestät,위엄,64
10097,begleiten,호위,35
2553,polynesien,령도계,90
3637,hillman,힐맨,85
3125,ereignislos,정체적이다,83
506,nachrichtensendung,뉴스 캐스트,84
7486,segnen,신을 하다,44
2285,turnschuhe,운동화,88
12591,die übung,연습,19
4887,deluxe,디럭스,78
2388,wieder eingeführt,reintroduced.,78
5811,thermometer,온도계,72
10789,werkzeuge,도구,19
9018,in auftrag,위임 받았다,19
339,antimon,안티몬,100
10858,pornographie,춘화,37
4577,napa,나파,80
6849,heliak,헬린,65
8089,lars.,라들,45
7539,taft,햇을 쫓아 내다,62
11142,lib,수제,35
6575,tao.,타오,63
3932,aussprechen,발음하기,38
9658,lancaster,랭커스터,46
3668,skepsis,회의론,55
7203,rosario.,로마 리오,63
726,rasseln,절거덕 소리,98
3384,unvereinbar,호환되지 않음,80
692,unglück,infidels.,79
1186,spitzig,샤리,97
9761,canterbury.,캔터베리,45
5207,stalking,스토킹,44
1185,niacin,니아신,97
1118,ozeanographie,해양학,97
11314,wer auch immer,누구나,34
1667,imperialist,제국주의 자의,80
6848,pino,피노,65
2784,timer,타이머,64
8317,exxon,엑손,56
5774,geprägt,가성화,15
964,jive,지브,97
12436,erleichterung,안도,24
9013,zurücktreten,사직하다,25
1548,kurzwelle,단파,95
3208,energetisch,정력적이다,83
12259,archiv,아카이브,12
8441,dorothy,도로시,55
11544,sitz,좌석,19
11371,angemeldet,입대하다,29
10198,bo.,악,37
9347,exil,망명,41
954,antease,antaeus.,97
13762,nacht,밤,11
14187,weitermachen,계속하다,5
121,stärke,녹말,96
13867,wenn,만약에,5
11890,emblem,상징,27
3282,polymerase,중합 효소,87
8507,gefährdet,멸종 위기,51
2007,phosphorisch,인의,87
3505,rohan,로행,86
1471,gilgamesh,길가 씨,95
13241,ok,좋아요,16
12844,maryland,메릴랜드,20
10503,strahlung,방사능,37
11914,birmingham,버밍엄,28
11148,herunterladen,... 다운로드하기,26
4852,arbeitslos,한가한,50
6394,rosmarin,로즈마리,68
14308,j,제이,8
12118,dodger,다저스,24
13770,genügend,충분한,11
2130,verschachtelt,interlaced.,78
4575,biathlon,바이어콘,80
180,untalte,헤아릴 수 없는,100
5148,hardtop,하드 톱,76
6954,prüfung,정밀한 조사,64
13069,grammatikalisch,문법적 인,17
10344,diät,다이어트,39
5049,tufts,터프 트,74
11892,konventionen,협약,13
12081,bombardierung,충격,26
6111,nemesis,네메시스,70
2965,windhund,그레이하운드,68
10681,dreckig,더러운,38
13124,erbärmlich,찌르다,17
10410,krea,크레딧,40
12978,gegangen,다 쓴,19
14165,stadt,도시,8
11512,winterhart,튼튼한,30
1350,meerwasser,해수,96
9609,linme,전위,47
9104,blast,폭발,26
1530,medicare,메디 케어,95
12405,ahorn,단풍,24
11445,für immer,영원히,32
6263,kanarienvogel,카나리아,68
7405,klarinette,클라리넷,62
3817,parität,동등,84
8459,schatzkammer,국고,54
9907,verklagt,고소하다,22
8986,aba,아베,49
1849,präsidium,상임 간부회,93
13046,simpson,심슨,18
3109,mündung,강어귀,86
4873,rapper,래퍼,27
5702,branche,빌딩,73
2951,hydrolase,가수 분해 효소,88
514,wespen,말벌,58
2603,verunglimpfen,얕보다,70
10510,linear,선의,39
1018,tesserakt,테슬러스트,97
8155,schweißen,용접,53
1963,topographisch,지형,90
3423,palindromic.,팔린 모틱,73
11418,spiegel,거울,30
12227,geburt,출생,13
9442,umstritten,논쟁의 여지가있는 것,48
1280,bluten,출혈,46
2865,engelwurz,안젤리카,88
3581,wochentage,평일,64
930,abgrund,심연,85
5538,himmlisch,천체의,74
13744,depression,우울증,11
2374,cupcake,컵케익,90
10064,alexandria,알렉산드리아,43
3670,nische,벽감,83
7434,akzent,악센트,53
7306,zuhälter,뚜쟁이,61
13480,detroit,디트로이트,13
9350,sahara,사하라도,49
6838,bong,봉,65
963,täuschung,미혹,86
10421,matrix,행렬,40
2620,stereoskopisch.,입체의,89
10810,opfern,희생,37
5490,strauß,타조,73
9929,ehrlich,솔직히,44
2824,wollig,양털 같은,88
9534,reifen,타이어,34
798,porzellan,도자기,98
8577,unsichtbar,보이지 않는,51
3676,tenor,테너,80
1531,bourgeoisie,자본가 계급,95
12805,fliegen,파리,12
6106,schlauch,호스,67
608,pediküre,페디큐어,99
6610,mentor,멘토르,65
13132,alles,모든 것,17
11397,gefolgert,유추 된,30
8861,tiffany.,티파니,52
8958,sunder,가르다,51
8389,fra.,프라,56
2773,rinnsal,물방울,83
9827,verbindungen,사이,11
4525,ewig.,영구,80
5634,erinnern,기억,66
8903,toledo,톨레도,51
6523,ansteckend,전염성,68
9980,wiederaufbau,재건,38
2217,asymmetrisch,비대칭,86
8653,anpassung,적응,32
9736,leichtigkeit,쉬움,39
12134,die opfer,피해자,22
11210,pac.,팩스,34
13697,stephen,스티븐,12
6006,neandertaler,네안데르탈,71
11550,reproduktion,생식,27
6865,widerwillig,주저하는,60
6742,kinematographie,영화 촬영법,66
3780,verschlechtert,열화 된 것,61
8524,chronologie,연대기,38
7682,banjo,밴조,60
6329,nach wind,바람이 불어 넣어,63
3078,verflixt,꿰매다,85
12340,muhammad,무하마드,25
8031,cutler,칼 장수,58
8635,kröte,두꺼비,53
7861,antiquität,고대 미술,49
3837,klappern,톱니 바퀴,84
13815,oder,또는,5
13952,teil,부분,8
11990,abfall,쓰레기,22
10639,transaktionen,업무,36
13755,le.,르,11
10997,werben,웨들,37
10182,navigation,항해,26
1998,vermehrung,번식,67
6168,makro,매크로,69
8341,segeltuch,캔버스,56
872,pilat,빌라도,97
1344,gittergewebe,망사,91
7931,kokosnuss,코코넛,59
4496,holey.,호이,80
9081,tansania,탄자니아,51
313,charismatisch,카리스마,100
7668,beginn,처음,61
13298,gary,게리,15
7519,sylvester,실베스터,62
12048,wolf,늑대,27
9638,bronx,브롱스,46
3346,essstäbchen,젓가락,87
12514,liverpool,리버풀,23
12675,ein teil,따로,20
1229,sitter,앉아 있는 엽조,95
8962,anhänger,트레일러,46
5773,besteuerung,과세,72
2492,verräter,배신자,75
7185,lava,용암,63
2587,erkenntnisse,통찰력,46
13643,dorf,마을,12
6012,tibia,경골,71
8777,taj.,타지,53
7120,trebuchet,트리 부스,63
9479,prototyp,원기,38
4363,geehrt,영광 스럽다,14
7531,ballistisch,탄도,51
12811,nasa,나사,20
