ID,DANOIS,HINDI,INTERVAL
7493,bruser,बौछार,44
12899,fodbold,फुटबॉल,19
2917,chiba.,चिबा,88
3078,darn.,शाप दिया हुआ,83
2263,vaskerum,टट्टी,91
4252,igle,जोंक,80
14107,generel,सामान्य,7
8439,elmer.,एल्मर,53
10622,burton.,बर्टन,38
656,sporadisk,बीच - बीच में,63
7133,pau,पऊ,62
10858,pornografi,कामोद्दीपक चित्र,36
11112,griffin.,दौड़ के लिये कभी भी न उतारा गया घोड़ा,34
3626,leno.,लीनो,84
9261,nedbrydning,निम्नीकरण,41
10216,troværdighed,साख,23
5221,skævt,एकतरफा,74
3373,ophæve,रद्द करना,71
6270,guinness.,गिनीज,68
13908,hende,उसकी,9
6575,tao.,ताओ,62
10869,hule,मांद,35
2743,dogme,हठधर्मिता,86
7603,embargo,घाटबंधी,57
3548,amoeba.,एक सलि का जन्तु,85
7470,bortskaffelse.,निपटान,44
7549,midsommer.,गरमी का मध्य,60
5570,whitey.,व्हाइटी,72
8396,prestigefyldte,प्रतिष्ठित,53
2246,minnie.,मिनी,91
6271,sårbar,चपेट में,61
10589,frost,ठंढ,37
6124,ammoniak,अमोनिया,68
11466,reorganiseret,पुनर्गठित,25
4951,moskeer.,मस्जिदों,35
10573,demographics.,जनसांख्यिकी,34
3480,mellemliggende,बीच,44
9603,ernæring,पोषण,42
1818,cote.,कोटे,91
13308,colorado.,कोलोराडो,15
6293,scarborough.,स्कारबोरो,67
9181,stockholm,स्टॉकहोम,48
9499,poop.,गोली चलाने की आवाज़,43
11602,ordbog,शब्दकोश,29
4830,macfarlane.,मैक्फार्लेन,77
5926,frivilligt.,स्वेच्छा से,70
2512,drosophila.,ड्रोसोफिला,89
12214,korrektioner.,सुधार,8
1664,formænd,अध्यक्षों,94
5694,svingende,आ गया,71
5885,suspendere,निलंबित,21
9325,gum.,गम,45
5226,specter.,काली छाया,74
11407,slået,पराजित,32
5224,sadel,सैडल,69
1275,kn.,के.एन.,95
12950,fredag,शुक्रवार,18
1636,snell.,स्नेल,94
2517,southland.,दक्षिण देश,89
1578,lcd.,एलसीडी,94
436,gunther.,गुंथर,100
11937,longhorns.,लौगहॉर्न,24
4520,dig.,तेरा,78
1978,peart.,ज़िंदादिल,92
