ID,PORTUGAIS,RUSSIAN,INTERVAL
14125,metade,половина,10
6201,sabotar,саботаж,61
4000,superpotência,супер сила,73
6553,dak,дак,67
1655,espinha,прыщ,94
10158,restaurante,ресторан,37
13153,paquistão,пакистан,17
9464,tempo de guerra,военное время,48
2316,axiomas.,аксиомы,73
8260,jipe,джип,53
5602,nome do arquivo,имя файла,72
4761,hélice,спираль,79
11884,meio ambiente,окружающая обстановка,28
6794,musa,муса,66
9449,dom.,домос,48
9122,hera,плющ,49
4632,panqueca,блин,73
3890,sena,сена,84
7212,pesar,весить,45
13211,yankees.,янки,13
6139,liso,сразу,64
880,halogeneto,галогенид,95
5343,quad.,квадратный,73
12057,contido,содержащийся,7
9697,ufo.,нло,44
720,heckler.,хеклер,96
5109,não especificado,неопределенные,77
618,lucrativo,прибыльный,99
1272,tweaked.,настраивается,65
7469,expo.,экспо,42
7507,covardemente,трусливый,62
13761,terra,земной шар,12
10305,êxodo,экзодес,41
6307,ezra.,эзра,69
4268,almanaque,альманак,81
3315,tulipa,тюльпан,86
11546,trovão,гром,31
767,obispo.,обиспо,98
13307,escrevi,писал,15
9035,prússia,пруссия,51
2284,balista.,баллиста,91
11129,mais rápido,быстрее,36
1379,nahuatl.,нахуатл,96
480,monomer.,мономер,96
2195,miríade,мириад,89
5598,forçosamente,принудительно,67
170,beal.,бильма,100
6643,desaparecer,пропадать,34
7411,letão,латышский язык,61
6453,haiku.,хайку,68
10036,desmarcado,бесполезно,43
14119,pegou,взял,8
13336,oklahoma.,оклахома,15
530,esturjão,осцилон,98
7098,dix.,дикс,64
5642,amônio,аммоний,73
9222,strauss.,штраус,50
7533,lã,шерсть,62
7818,incerteza,неопределенность,57
9102,geotérmico,геотермал,51
769,goshen.,госу,98
11935,física,физика,7
14186,levado,взятый,8
3960,justo,праведник,83
6032,assinada,означаемый,43
12095,aliança,коалиция,27
12217,watson.,ватсон,26
10476,comutado,переключаться,23
4961,hornet,шершень,54
12113,senhora,леди,20
1715,cora.,корена,94
13477,filadélfia,филадельфия,14
6531,rezar,молиться,55
10178,mick.,мик,42
6276,devidamente,вузываться,70
5068,puxar para baixo,тянуть вниз,77
13790,televisão,телевидение,11
9338,chefe de cozinha,шеф-повар,47
4624,grinto,ворс,79
7588,camiseta vermelha,красная рубашка,58
11851,crimes.,преступления,15
7481,usher.,упор,57
14472,james,джеймс,9
3659,nostrum.,ностри,85
6042,motocross,мотокросс,71
9070,orangotango.,орангутан,51
