ID,DEUTSCH,SPAIN,INTERVAL
10265,beobachtungen,observaciones,13
11991,tarnieren.,desfloración,27
1731,sinus,seno,90
11952,hai,tiburón,25
11311,rückgängig machen,deshacer,25
3667,sanktion,sanción,17
13141,brechen,descanso,15
14338,gesehen,visto,12
3054,keynote,fundamental,88
11861,tiefe,profundidad,32
11841,konzert,concierto,30
9039,renatement,reembolso,51
8166,kabeljau,bacalao,61
6078,kalkulationstabelle,hoja de cálculo,71
1889,kaskadierung,cascada,65
12395,staub,polvo,28
3723,paranomien,paruino,86
7936,kies,grava,62
6488,verzogen,deformado,61
2205,wiedereinsetzen,releer,88
13680,bisschen,poco,13
12257,vermuten,sospechar,19
6533,befürworter,abogacía,70
236,glücklos,desventurado,100
7709,hydraulisch,hidráulico,57
10048,brot,pan,46
4870,abnehmend,decreciente,41
10281,grafschaft,condado,45
5384,bd.,bizcocho,75
12862,wild,salvaje,23
2747,westwärts,hacia el oeste,32
3516,eukalyptus,eucalipto,87
6721,inhärent,inherentemente,56
11933,fluggesellschaften,aerolíneas,28
8429,korb,cesta,56
5156,undercover.,clandestino,78
2117,katalytisch,catalítico,93
2942,löwenzahn,diente de león,88
13729,verletzung,infracción,13
12415,dämmerung,amanecer,28
7489,betont,enfatizado,48
7669,sympathie,simpatía,60
3184,begriffe,nociones,48
8453,vergiftung,envenenamiento,39
13449,ernsthaft,seriamente,16
9062,flasche,botella,43
2676,gestürzt,derrocado,91
296,lethe.,letear,100
8535,amnestie,amnistía,57
14201,bildschirm,pantalla,22
10679,lawine,avalancha,42
322,türsteher,bravucón,98
1408,schläfer,durmiente,92
11650,tragen,que lleva,12
11906,sprint,pique,31
8385,schießpulver,pólvora,59
6193,havent,no poder,72
12462,ecke,esquina,25
7072,neu laden,recargar,56
12175,ehefrau,esposa,30
11544,sitz,asiento,23
14046,wenig,pequeño,12
1177,nco.,suboficial,97
11434,methyl,metilo,36
203,fußarbeit,juego de piernas,100
13103,biographisch,biográfico,20
14222,nahe,cerca,11
12169,ma.,mamá,28
11946,ausgedrückt,expresado,17
9999,monsun,monzón,46
1452,fahrbahn,calzada,96
14464,abgelegt,archivado,6
13138,trete,patear,15
4266,primus,hornillo de camping,83
12027,dampf,vapor,31
1053,löslichkeit,solubilidad,71
11884,umgebung,ambiente,31
9249,blumen,flores,36
9556,nu.,nú,46
14328,led,condujo,12
11580,sieger,víctor,34
1119,elektrolyse,electrólisis,97
13657,notizität,notabilidad,10
3273,zersetzung,descomposición,88
13269,theorie,teoría,16
428,tunesische,tunecino,98
9603,ernährung,nutrición,48
5693,süßwasser,agua dulce,75
9368,uns selbst,nosotros mismos,52
6977,geknallt,saltó,22
12913,reihe,fila,21
121,stärke,almidón,97
9365,gefahr,peligro,52
12326,rangfolge,clasificación,8
8082,uneinheit,una,61
7479,fötus,feto,64
13715,schmied,herrero,13
14073,möglich,posible,8
7383,steak,filete,64
13307,schrieb,escribió,18
13278,klopfen,palmadita,17
667,hörbar,audible,95
6099,bodybuilding.,culturismo,67
4094,wiener,salchicha,82
5694,geschwenkt,swung,75
3967,stecken,std,85
7142,ausbrechen,fugarse,66
2473,klebstoff,adhesivo,76
952,bö,chubasco,91
12858,soll,deberá,23
11118,yd.,yarda,38
9154,taktstock,batuta,50
12891,pleite,en bancarrota,23
13754,hochladen,subir,9
986,strumpfband,liga,95
7013,pudding,pudín,63
6120,faszinierend,fascinante,62
9380,solitips,solipsista,52
8766,kreuzfahrer,cruzados,31
13475,persisch,persa,16
4636,stockente,pato real,80
8205,induktion,inducción,48
6856,datumsgrenze,línea de datos,68
13757,süd-,meridional,13
14206,fragte,preguntó,6
2784,timer,temporizador,67
14145,anruf,llamar,9
4563,mäher,cortacésped,77
10131,kurve,doblar,42
9615,zusammenfassen,resumir,39
7597,spaten,pala,59
13474,endlich,finalmente,8
6681,narren,tontos,38
9433,arche,arca,51
4848,bordeaux.,burdeos,80
9014,zündete,iluminado,53
4053,bildlich,pictórico,83
10380,hilame,hilary,39
12429,verwaist,huérfano,26
3396,querträger,travesaño,87
7236,literaturverzeichnis,bibliografía,64
3050,distel,cardo,83
280,drehgestell,carretón,93
12990,tanzen,danza,18
12984,österreich,austria,22
7288,rückstau,escape,63
7286,überzeugung,convicción,35
7997,glühend,incandescente,62
10162,schwierigkeiten,dificultades,35
994,slawen,eslavos,90
7269,koffein,cafeína,65
7620,einstimmig,unánime,49
8686,sensenmann,segador,56
9,remade,rehaga,100
10816,hemisphäre,hemisferio,40
11977,unvollständig,incompleto,31
389,gallium,galio,100
13933,dasselbe,mismo,9
1664,vorsitzende,presidentes,95
6378,hälften,mitades,63
1072,schätze,tesoros,50
3218,überschall-,supersónico,60
4954,blinddarm,apéndice,79
5023,im uhrzeigersinn,agujas del reloj,79
4104,erajac.,eniac,84
13937,sehr,muy,9
3908,feuerkraft,potencia de fuego,85
8063,manor,señorío,61
2312,hämmern,golpeteo,35
12579,fiktion,ficción,21
9383,messing,latón,52
14272,kampagne,campaña,16
12966,unerklärt,inexplicable,22
5869,basilikum,albahaca,74
11592,portugiesisch,portugués,35
8247,nuss,tuerca,47
4757,immunität,inmunidad,50
771,ordnen,ord,99
6660,assisi,asís,70
2792,turbolader,turbocompresor,90
2109,erweitern,ensanchar,62
6162,kolumbianer,colombiano,72
2842,kichern,risita,68
10733,nachbarschaft,vecindario,36
11123,soundtrack,banda sonora,37
6157,blutbad,carnicería,72
9268,begegnen,encuentro,31
6902,absturz,estrellarse,19
3044,bridgeman.,hombre del puente,89
5245,mausefalle,ratonera,78
14251,einmal,una vez,11
3242,schnupftabak,rapé,88
407,irregeführt,engañado,100
4333,ungebunden,desatado,83
4141,ultraschall,ultrasonido,84
13243,sonntag,domingo,19
9153,verweigerung,negación,52
13518,unterseite,fondo,16
13605,wasser,agua,13
12431,dabei,sirve,13
14140,wahrscheinlich,probable,5
8398,zufall,coincidencia,42
2149,tobellos,saludo,93
2894,scheußlich,atroz,89
328,blazer,chaqueta de sport,52
1282,triaden,tríadas,68
4184,springer,saltador,84
590,goories,porteros,50
12849,wrem,organizar,24
8869,berüchtigt,notorio,52
10193,juristische person,entidad,40
14149,einzel,soltero,10
808,putsch,golpe de estado,99
4952,slawisch,eslavo,79
