ID,PORTUGAIS,CHINESE,INTERVAL
9963,havaiano,夏威夷人,43
11626,estranhas,诡异的,31
7285,abigail.,阿比盖尔,63
2894,atroz,at,88
13408,eventualmente,最终,13
10895,milícia,民兵,35
10523,chassis,机壳,40
796,fro,来回,98
2177,galinha,母鸡,80
11768,abraão,亚伯拉罕,30
13687,mau,坏的,12
12631,cinza,灰色的,22
5672,édipo,俄狄浦斯,74
11095,em outro continente,海外,36
8937,mamute,长毛象,52
6872,demise,消亡,66
6894,análogo,类似物,61
2051,fortificação,筑城,66
12315,mexicano,墨西哥人,25
12114,hortelã,薄荷,26
11977,incompleto,不完整,28
11323,calha,槽,34
14030,versão,版本,8
135,quindim,卡仕达酱,100
10225,fóssil,化石,28
5953,furão,雪貂,72
9930,balsa,渡船,37
6202,germain,梅格兰,71
9647,zâmbia,赞比亚,47
8383,melissa.,梅丽莎,56
3065,cabalá.,kabbalah.,88
8796,emboscada,伏击,46
10414,broadway,百老汇,41
731,praticantes,从业人员,78
269,ereto,直立,48
14466,desejado,通缉,5
3494,lore.,知识,79
5619,espectroscopia,光谱学,75
5791,com fio,有线,31
9626,prostituição,卖淫,43
10539,doutrina,教义,38
11241,nervoso,生气的,35
4346,socorro,劳动节,82
9664,malthusian,马尔萨斯人,47
9785,enterrado,埋葬,37
12637,programação,编程,11
11831,basicamente,基本上,15
12453,trabalho,劳动,23
13169,difamatório,诽谤,17
6929,variadamente,不同,66
8901,dente,齿,50
6545,antuérpia,安特卫普,69
11653,propriedade,所有权,31
3918,gideon.,吉迪,84
13837,você,你,5
10268,tâmil,泰米尔,42
9894,cadastro,登记,42
6046,czar,沙皇,72
13332,material,东西,15
13676,esboço  projeto,草案,11
11918,dirk.,短剑,29
12137,unificado,统一,27
748,apnéia,呼吸暂停,98
11093,canhão,大炮,34
9834,amizade,友谊,45
2409,acupuntura,针刺,91
9876,baterias,电池,20
1654,escroto,阴囊,94
6141,ding.,丁,69
80,westland,韦斯特兰,100
4546,aladim,阿拉丁,81
7548,hanôver,汉诺威,62
13806,como,作为,5
2249,poz.,宝泽,92
9817,bruxo,巫师,32
3146,insulina,胰岛素,88
1010,sóbrio,清醒,87
4839,hee.,嘻嘻,79
14305,ar,空气,8
941,quantitativo,定量,93
1397,berrier.,弗里尔,96
8409,abolicionista,保证主义者,54
5032,singleton.,单身,77
1110,reagrupados,重新组合,80
6340,novidade,新奇,67
13378,dando,给予,8
23,um homem,阿门,81
921,compras,采购,79
10797,fbi.,联邦调查局,38
11094,páscoa,复活节,37
1658,nada.,纳达,94
6399,distribuidor,经销商,57
12093,ucrânia,乌克兰,27
5114,ábaco,算盘,77
5567,frágil,脆弱的,73
11747,vigésimo,第二十,31
10554,flores.,弗洛雷斯,40
8400,starcraft.,星际争霸,56
9344,grama,草地,48
13872,porque,因为,7
8847,zodíaco,黄道带,53
1449,reutilizado,重复使用,60
10926,monumento,纪念碑,34
13200,rainha,女王,15
5351,iliad.,伊利亚,76
11420,torta,馅饼,32
10558,artificial,人造的,38
1135,bolívar.,玻利瓦尔,97
7018,hacking.,黑客攻击,37
6075,cruel,残忍的,72
5812,dique,堤坝,63
8535,anistia,大赦,55
13386,brian.,br,14
10134,papua,巴布亚,43
6021,não disposto,不愿意,72
14141,devido,到期的,6
4194,cartum.,喀土穆,83
8715,jogatina,赌博,40
2777,boomer,潮山脉,87
13523,verão,夏天,13
12573,mais fácil,更轻松,23
5665,mamãe.,妈,41
5308,lipídico,脂质,75
3621,lençóis freáticos,地下水,86
9627,xingamento,诅咒,41
8393,estacionário,静止,56
7275,cassete,盒式磁带,62
12981,agendar,日程,13
12576,sentido,毛毡,23
11307,perfil,轮廓,30
8170,injeção,注射,29
12786,vancouver.,温哥华,21
13234,caro,亲,16
405,basculante,泼妇,100
1540,aquicultura,水产养殖,95
8677,autismo,自闭症,54
7631,enseada,湾,62
4728,dedos do pé,脚趾,49
9832,táxi,出租车,44
5750,hanna.,汉娜,74
7160,escalão,梯队,62
4473,snider.,sn,81
7448,diane.,黛安,55
12928,sangue,血,19
7721,apocalipse,天启,61
3091,northumbrian,诺福利亚语,88
267,tangente,切线,97
11802,capacidade,容量,29
13139,manhã,早晨,17
10932,triângulo,三角形,36
9285,francamente,坦白说,50
1876,quilogramas.,千克,73
2719,cursório,柯萨里,89
5470,encore.,enc,73
13702,vencedora,优胜者,10
3177,tosse,咳嗽,81
11460,quarenta,四十,32
8829,thor.,雷神,53
14347,esforço,努力,6
247,lisina,赖氨酸,100
3249,flapper,挡板,87
3339,hostel,旅馆,83
3805,domar,驯服,70
9168,trono,王座,50
11112,griffin.,格里芬,36
7260,testículo,睾丸,62
11618,yorkshire.,约克郡,32
14329,cobrar,收费,14
12777,partir,subst.,21
3516,eucalipto,桉树,86
8293,entusiasmo,热情,57
822,intransponível,不可逾越,98
8275,moinho de vento,风车,56
9950,pioneiro,先锋,36
2010,misspelling.,拼错,61
472,gags.,噱头,70
1435,placebo,安慰剂,95
11505,inscrição,应用,21
5603,cruzador,巡洋舰,70
14382,completo,完全的,8
7084,saxônia,萨克森,65
8880,oslo,奥斯陆,53
2766,servidão,社交,89
2190,compagnie,康吉尼,88
1182,arn.,阿恩,97
1881,apocalíptico,世界末日,82
2496,katana.,卡塔纳,91
1954,defeituoso,故障,75
1003,warlords.,军阀,83
10180,albanês,阿尔巴尼亚人,35
4151,bain.,贝恩,83
5837,cápsula,胶囊,62
14288,universidade,大学,7
2548,codeína,疑要,91
11841,show,音乐会,26
12753,janelas,视窗,11
8187,malawi.,马拉维,58
13689,michigan,密歇根州,12
11652,equivocado,错误,31
5289,aureus.,金黄色葡萄球菌,76
