ID,DEUTSCH,ARABE,INTERVAL
3642,bandicoot,بانديكوت,85
7012,polsterung,حشوة,42
9831,triumph,انتصار,41
7549,hochsommer-,منتصف الصيف,62
3770,birdmann,طائر,84
10190,insgesamt,كليا,43
449,linienrichter,مساعد الحكم,100
5716,enkel,حفيد,71
12094,quere,كيو,27
10731,traurig,حزين,30
14124,berichte,التقارير,5
12421,austin,أوستين,25
4582,lotto,لوتو,80
10120,kaliber,عيار,41
9005,olympiade,الأولمبياد,51
2873,durst,دور,88
7086,hallo,هوي,64
9102,geothermie,الحرارة الأرضية,51
2163,unrealistisch,غير واقعية,90
9445,entführung,خطف,33
12921,gebrochen,مكسور,20
7451,kollegen,زملاء,53
11970,bringend,جلب,6
2224,kaif.,كايف,91
10225,fossil,حفرية,28
12767,dekade,عقد، عشر سنوات,18
9642,yang.,يانغ,47
12872,verlieren,تخسر,12
13434,gebracht,جلبت,14
13551,gemeint,عنى,13
12495,schiff,سفينة,17
12354,ar.,ألا,25
11957,bronze-,برونزي,28
1746,baka,باكا,93
5027,prophezeiung,نبوءة,69
7463,klatschen,كليف,62
2998,superhelden,ابطال خارقين,60
10803,geschmack,المذاق,35
11183,viktorianisch,الفيكتوري,35
6579,kippur,كيبور,68
14472,james,جوامع,9
14227,zurückkehren,يعود,9
3464,woes,الويلات,83
4612,bananen,موز,38
2922,beryllium,بريليوم,88
12340,muhammad,محمد,25
1758,begeistert,بسعادة غامرة,51
617,erfrieren,جمدت,99
6164,wasserfall,شلال,67
9522,dal,دال,48
9372,zuerst,أولا,49
4795,mw.,ميث,78
11438,trocken,جاف,30
5417,bambus,الخيزران,74
10036,ungewagert,untagged.,44
1055,entdecker,مكتشفون,72
6295,sui.,سوي,70
7544,quo.,سوى,62
12107,kontrolliert,خاضع للسيطرة,11
3612,lautmalerei,onomatopoeia.,85
8421,persien,بلاد فارس,56
13929,weg,طريق,7
8713,taiwanese,تايواني,54
12468,morris,موريس,24
9476,hamburger,همبرغر,38
11669,va.,ب,31
10526,im wesentlichen,جوهريا,19
4038,arie,آريا,68
11569,beschuldigen,لوم,24
341,martel,مارتل,100
286,gillies,جيليس,88
13807,sind,نكون,5
48,matti,ماتي,100
3495,hadith,الحديث,86
11175,mob,تجمهر,33
8339,verfolgung,اضطهاد,51
1606,bestürzung,الفزع,84
4562,lupus.,لوبوس,80
14424,besonders,خصوصاً,11
895,transplantat,كسب,89
7315,geschäftsmann,رجل اعمال,63
12951,kelly.,كيلي,19
4773,sardar,سردار,78
8697,bullshit.,هراء,54
7995,jumper,سترة او قفاز او لاعب قفز,56
8174,havanna.,هافانا,58
5619,spektroskopie,التحليل الطيفي,74
2570,lagerfeuer,مشعل,87
3616,unterwäsche,الملابس الداخلية,77
10725,laut,بصوت عال,38
13663,louis,لويس,12
10996,polar-,القطبي,33
10654,rap,موسيقى الراب,34
2864,östrogen,الاستروجين,87
2118,verzweifeln,اليأس,88
3964,umverteilt,إعادة توزيع,70
12027,dampf,بخار,27
12203,liberale,ليبرالية,17
12207,pringle,برجلز,26
8163,chlor,الكلور,54
6657,malaiisch,لغة الملايو,60
1719,txt,رسالة قصيرة,93
10166,gesponsert.,برعاية,29
13527,technologie,تقنية,12
4611,disqualifikation,تنحية,76
9764,shoreman,شورمان,46
6565,smiley,مبتسم,68
7509,hexerei,السحر,62
4211,packen,حظا,39
1940,mayonnaise,مايونيز,93
5436,andromeda.,أندروميدا,75
2020,möwen,طيور النورس,84
534,hiro.,هيرو,99
