ID,DANOIS,POLONAIS,INTERVAL
10487,sammensætning,kompozycja,32
2089,uninvolved.,niepozłowujący,94
9345,lektier,praca domowa,53
2900,vredt,gniewnie,90
12665,trukket,pociągnięty,26
2473,klæbemiddel,spoiwo,77
13636,markeret,tagged.,7
10423,kollision,kolizja,43
1644,ekstraordinært.,niezwykle,96
5694,svingende,obustronny,77
12925,bobby,konstabl,23
3569,personificering,uosobienie,88
8722,cowboy,kowboj,26
3660,normalisering,normalizacja,17
13159,krise,kryzys,20
11960,kejserlig,cesarski,28
2565,canopic.,kadzyk,92
3860,offspring.,potomstwo,86
3859,overlever,przetrwa,26
13444,starten,początek,13
13787,død,śmierć,11
5586,naive.,naiwny,73
10914,galakse.,galaktyka,38
6998,lollipop,lizak,67
744,upstate.,północna część stanu,99
7725,betaling,zapłata,53
8673,estisk.,estoński,55
13492,van.,awangarda,16
6936,inkonsekvens,niezgodność,42
2729,krydsninger.,skrzyżowania,45
11553,hårdere.,trudniej,36
5271,underdogs.,słabsi,60
9933,folkeafstemning,referendum,43
4926,pang.,ostry ból,80
10131,bøje,schylać się,43
8287,argonauts.,argonaci,59
6881,wattle.,witka,67
373,ringorm.,liszaj obrączkowy,100
12962,beliggenhed,lokalizacja,11
8613,hearsay.,pogłoska,58
10867,pludselig,nagle,41
13072,bølge,fala,18
10057,hackney.,banalizować,47
10673,beslag.,nawias,29
5842,rille,rowek,67
10348,petty.,drobiazgowy,45
1010,sober.,trzeźwy,88
14109,john,jan,9
3671,diagonal.,przekątna,80
5478,southbound.,południowa granica,78
1104,modstå.,wstrzymuje się,97
12984,østrig.,austria,22
562,foothills.,pogórze,77
12634,ulovlig,nielegalny,25
11579,sonic.,dźwiękowy,35
9117,sexet.,seksowny,55
11247,spears.,włóczniki,35
6946,afsløret,odsłonięty,62
663,tiresome.,nieznośny,98
3276,omfavnet,objęcie,64
1561,hermitage.,pustelnia,96
7986,stunned.,oszołomiony,46
9330,maker.,producent,44
2533,heroisme.,bohaterstwo,92
56,incubus.,zmora,100
11905,jupiter.,jowisz,33
7773,cockpit,kabina pilota,62
4854,galilee.,galilejczyk,81
14097,møde,spotkanie,11
5509,excentrisk.,ekscentryczny,53
6384,vilkårligt.,dowolnie,72
13263,ingen,żaden,19
8123,økse,topór,55
10711,lagt,położony,42
57,sultende,głodujący,87
5641,udtænkt,opracowany,68
1642,tilgiven,wybaczony,96
573,nitric,azotowy,99
8701,ripper.,rozpruwacz,58
5100,artikuleret,przegubowy,67
11228,sidder.,posiedzenie,28
2457,fetch.,aportować,78
4014,nationhood.,ogólnospołeczność,86
6573,dresden,drezno,71
3055,handoff,rękojeść,89
9372,for det første,po pierwsze,53
7452,milky.,mleczny,65
10767,gal,szalony,36
5926,frivilligt.,dobrowolnie,75
13233,semi.,pół,19
9524,voodoo,wiara w czary,51
8685,opstod,powstały,58
12063,forfatter,pisarz,22
1088,feminin,kobiecy,96
521,strung.,naciągnięty,99
934,korsfæstelse.,ukrzyżowanie,98
3115,aegean.,egejski,89
10975,crap.,bzdury,39
12688,stavet,orkisz,15
6038,mullet.,cefal,70
7007,stingray.,płaszczka,64
7649,buddhist,buddyjski,62
