ID,JAPAN,DANOIS,INTERVAL
8882,ギアボックス,gearkasse,51
1694,スラッピー,slappy.,94
1734,へま,goof.,80
11072,盗まれた,stjålet,36
1036,ヘッセン,hessian.,93
8103,積分,integral,23
7660,腰を,talje,54
2345,いくつかの場所,noget sted,91
1940,マヨネーズ,mayonnaise.,93
6788,フェンダー,fender.,62
10694,ケンブリッジ,cambridge.,38
10341,電気通信,telekommunikation,29
12442,キャッチ,fangst,18
3041,四分円,kvadrant,77
2210,眠った,slpt.,91
9797,ジュード,jude.,44
14244,手段,midler,8
1970,ハードカバー,hardcover.,93
9778,カジノ,kasino,41
5496,陰陽,nye.,74
8610,ブドウ,druer,42
13155,細胞,celle,15
7040,視聴者,publikum.,28
2125,バンシー,banshee.,86
10199,話した,talte,41
14387,短い,kort,9
13367,第6回,6th,14
12852,森,skov,18
12768,オランダの,hollandsk,21
14384,鉛,at føre,7
9716,猛吹雪,snestorm,44
4677,カタック,canuck.,78
7994,スエズ,suez.,58
6726,召喚,indkaldt,52
10550,サール,sar.,39
10940,紋章,våbenskjold,34
6646,存在する,levedygtig,66
14176,見て,se,5
502,タンタマウント,tantamount.,99
4752,aud aud,audacity.,78
5833,キュリー,curie.,67
12958,カルビン,calvin.,18
919,バフ,buffs.,72
11012,北西部,northwestward.,36
10786,執事,butler.,38
3989,横浜,yokohama.,83
11901,インチ,tommer,19
9405,奴隷に,lester.,48
8226,メッカ,mekka.,56
13730,スペイン語,spansk,12
6709,ミッドフィールド,midtfelt,52
13383,埋め込む,implementere,12
8298,adv,advent.,55
7884,イザベラ,isabella.,58
2469,大文字,kapitaliseret,68
11171,ang ang,angus.,35
558,サン,sangh.,99
2486,コニー,coney.,90
11366,チャーター,charter,30
10738,互いに,hyret,28
13749,追跡,spore,9
11173,ハンズ,hans.,21
7944,ほこりの多い,støvet,58
1493,固定,fiksering,92
5444,疑似,kvasi.,74
191,派手な,ostentation.,100
2259,ガラス繊維,glasfiber,91
10270,トン,ton,29
2809,排水,afløb,88
9647,ザンビア,zambia.,46
10022,敬礼,hyldest,41
10458,異議,indvending,12
572,爬虫類,reptilian.,99
6849,ヘリック,heliac.,65
519,シマン,simeon.,99
12431,serv,tjener,11
2316,公理,aksioms.,73
12475,ミサイル,missil,20
4012,ストラフィー,strafing.,72
4511,仮名,pseudonym.,73
6150,そりに,slæde,68
1160,カプチン,capuchin.,96
8572,ブルク,blk.,54
2874,レプラコン,leprechaun.,86
4448,ヨセフィン,josephine.,80
6897,アンサンブル,ensemble,61
6538,傲慢,arrogant,59
1732,ロイヤルティ,royalties.,65
7599,ライナー,liner.,57
8120,ソフトボール,softball.,57
12451,データベース,database.,23
12384,サブ,sub,23
6131,身代金,løsepenge,68
3418,林業,skovbrug,86
9035,プラシア,preussia.,50
10214,フィンランド語,finsk,41
11411,もっとゆっくり,langsommere,33
2535,カトリ大,khatri.,90
6387,世俗的に,sekulært,60
1865,スリス,skiver.,93
13861,彼,han,6
4379,加速する,fremskynde,34
6631,マストドン,mastodon.,66
5406,ダイジェスト,fordøje,51
3856,付属品,tilbehør,66
13721,貢献者,bidragsydere.,10
8693,焼けた,brændt,53
2171,想定された,forudset,87
7531,弾性,ballistic.,51
