ID,DANOIS,CHINESE,INTERVAL
3119,stikkontakt,插座,77
719,tyndere,稀释,98
7801,patricia.,帕特里夏,60
2768,goliath.,戈尔亚日,89
1877,waking.,醒来,27
1662,ridderi.,侠义,95
9506,tyngdekraft,重力,48
10690,rædsel,恐怖,38
3702,dull.,乏味的,84
3143,mononukleose,单核细胞多疾,88
7643,oasis.,绿洲,61
9380,solipsist.,纯粹主义者,49
9336,vragrester,碎片,49
12710,donald.,唐纳德,22
4035,forhandlere,零售商,39
596,stetson.,斯特顿,95
10919,kys,吻,34
8206,stonehenge.,巨石阵,57
8737,nedsættende,贬,54
9974,senegal.,塞内加尔,44
12650,tampa.,坦帕,22
8887,coli.,大肠杆菌,52
1286,centrist.,中间人,94
1977,separatister,分离主义者,66
1626,carolus.,卡罗尔斯,95
1740,fattigere.,穷人,94
2316,aksioms.,公理,74
6263,canary.,金丝雀,69
12159,raket,火箭,20
11847,konkurrerende,竞争对手,22
7040,publikum.,观众,29
3560,parentes,插入语,86
2461,toa.,托阿,91
10410,crea.,克,41
4850,donut.,甜甜圈,75
1963,topografisk.,地质,91
10428,slag,中风,36
2993,tiffin.,蒂芙,88
9023,nyere,new,52
8977,snigskytte,狙击手,48
264,hom,磡,100
4281,vidner,作证,59
13160,global,全球的,16
4153,gunners.,枪手,64
11980,athens.,雅典,28
9189,fyldigere.,富勒,50
1174,carne.,甘蔗,94
2375,quinton.,昆腾,91
1719,txt.,文本文件,94
12999,ukendt,未知,18
1793,cellulose.,纤维素,89
12933,haven.,避风港,19
687,fysikere.,物理学家,57
2248,dada.,达达,92
861,redacted.,编辑,93
5771,perler,珠子,63
4964,avalon.,阿瓦隆,78
8260,jeep,吉普车,54
7872,uendeligt,无限地,26
13814,vilje,将要,5
5944,lig,尸体,61
13007,reaktion,反应,17
8306,parret,配对,20
7284,tankskib,油船,54
6121,medlidenhed,遗憾,64
7837,ryste,摇,48
5636,værdighed,尊严,73
1145,mikrobiologi.,微生物学,94
1247,waterman.,沃特曼,96
14497,læs,读,5
12126,milliard,十亿,26
2467,pilgrimsrejse,朝圣,90
7506,jesuit.,耶稣会,60
6160,trækkraft,牵引,71
2882,risikabel,有风险,89
4043,enkelhed,简单,82
3590,fremdrivning,推进,86
12637,programmering,编程,11
5604,tucson.,图森,74
2819,forwuringdoing.,不法行为,89
7786,mytteri,兵变,57
3749,ural.,乌拉尔,85
5401,crank.,曲柄,70
12788,fa.,f a,20
12024,blah.,布拉,28
9462,greenwich.,格林威治,48
14294,bil,车,9
13542,strejke,罢工,11
11160,hør efter,听,25
12291,ekstrem,极端,17
12675,en del,除此之外,20
7597,spade.,铲,56
13194,oh.,哦,16
215,pall.,颇,100
7581,slagte,屠宰,54
3839,farveløs,无色,85
7264,ævle,胡扯,60
608,pedicure.,修脚,99
7954,panorama.,全景,59
12005,ulige,奇怪的,24
